name,workload,requests,hits,misses,errors,hit_rate,throughput_rps,p50_ms,p95_ms,evictions,scraper_average_ms,efficiency_ms,evictions_per_min,expired_keys,source
functional-uniform-10mb-lru,live_soccerway,40,14,26,0,0.35,0.3765059059527775,3299.012,4839.425,0,3998.832,-2599.0043,0.0,0,functional-uniform-10mb-lru-20260912-211203.json
functional-uniform-2mb-lru,live_soccerway,40,14,26,0,0.35,0.4056906894199627,3146.999,4882.534,0,3704.985,-2408.0277,0.0,0,functional-uniform-2mb-lru-20260912-211417.json
functional-uniform-5mb-lfu,live_soccerway,40,14,26,0,0.35,0.3880408082422595,3248.036,5274.368,0,3876.727,-2519.6463,0.0,0,functional-uniform-5mb-lfu-20260912-210127.json
functional-uniform-5mb-lru,live_soccerway,40,14,26,0,0.35,0.3867549956674195,3194.322,4881.442,0,3890.027,-2528.2895,0.0,0,functional-uniform-5mb-lru-20260912-210333.json
functional-zipf-10mb-lru,live_soccerway,40,25,15,0,0.625,0.6731449181311907,10.671,4805.65,0,3790.337,-1421.0263,0.0,0,functional-zipf-10mb-lru-20260912-210453.json
functional-zipf-2mb-lru,live_soccerway,40,25,15,0,0.625,0.6884602386139104,10.274,4696.024,0,3703.529,-1388.4765,0.0,0,functional-zipf-2mb-lru-20260912-210612.json
functional-zipf-5mb-lfu,live_soccerway,40,25,15,0,0.625,0.6815910847075769,10.326,4754.525,0,3741.21,-1402.6027,0.0,0,functional-zipf-5mb-lfu-20260912-210732.json
functional-zipf-5mb-lru,live_soccerway,40,25,15,0,0.625,0.6764934813775888,9.463,4746.562,0,3771.797,-1414.1076,0.0,0,functional-zipf-5mb-lru-20260912-210853.json
preloaded-5mb-lru,preloaded_soccerway,40,14,26,0,0.35,3.4371169064684652,310.85,446.339,0,360.674,-234.2365,0.0,0,preloaded-5mb-lru-20260912-212021.json
pressure-uniform-10mb-lfu,synthetic_cache_pressure,1000,82,918,0,0.082,111.1942890229872,8.611,10.872,805,,,5370.684159810282,0,pressure-uniform-10mb-lfu-20260912-204923.json
pressure-uniform-10mb-lru,synthetic_cache_pressure,1000,87,913,0,0.087,104.49854117795611,9.123,11.737,800,,,5015.929976541894,0,pressure-uniform-10mb-lru-20260912-204953.json
pressure-uniform-2mb-lfu,synthetic_cache_pressure,1000,7,993,0,0.007,109.07606688441736,8.757,10.895,983,,,6433.306424842936,0,pressure-uniform-2mb-lfu-20260912-205024.json
pressure-uniform-2mb-lru,synthetic_cache_pressure,1000,8,992,0,0.008,109.36703812577193,8.739,10.976,981,,,6437.343864082936,0,pressure-uniform-2mb-lru-20260912-205054.json
pressure-uniform-5mb-lfu,synthetic_cache_pressure,1000,40,960,0,0.04,111.81715660518289,8.617,10.334,911,,,6111.925780039296,0,pressure-uniform-5mb-lfu-20260912-205124.json
pressure-uniform-5mb-lru,synthetic_cache_pressure,1000,39,961,0,0.039,108.46954224899949,8.838,10.868,912,,,5935.4533518652515,0,pressure-uniform-5mb-lru-20260912-205154.json
pressure-zipf-10mb-lfu,synthetic_cache_pressure,1000,665,335,0,0.665,113.10265829546621,8.466,10.217,222,,,1506.52740849561,0,pressure-zipf-10mb-lfu-20260912-212751.json
pressure-zipf-10mb-lru,synthetic_cache_pressure,1000,643,357,0,0.643,112.94697650458276,8.478,10.332,244,,,1653.5437360270917,0,pressure-zipf-10mb-lru-20260912-205254.json
pressure-zipf-2mb-lfu,synthetic_cache_pressure,1000,397,603,0,0.397,71.10468036084022,13.465,18.237,593,,,2529.9045272386948,0,pressure-zipf-2mb-lfu-20260913-112020.json
pressure-zipf-2mb-lru,synthetic_cache_pressure,1000,262,738,0,0.262,65.49439102790143,14.624,20.092,728,,,2860.795000098735,0,pressure-zipf-2mb-lru-20260913-110555.json
pressure-zipf-5mb-lfu,synthetic_cache_pressure,1000,584,416,0,0.584,109.64206285599734,8.695,10.944,367,,,2414.3182240890615,0,pressure-zipf-5mb-lfu-20260912-205423.json
pressure-zipf-5mb-lru,synthetic_cache_pressure,1000,509,491,0,0.509,112.80497057019515,8.521,10.094,443,,,2998.356117755787,0,pressure-zipf-5mb-lru-20260912-205453.json
ttl-q1-3s,live_soccerway,2,0,2,0,0.0,0.1762326422028249,3059.823,4288.528,0,3662.2,-3662.2005,0.0,1,ttl-q1-3s-20260912-211451.json
ttl-q1-60s,live_soccerway,2,1,1,0,0.5,0.26746703677495537,8.911,3468.433,0,3456.004,-1727.7595,0.0,0,ttl-q1-60s-20260912-211520.json
ttl-q2-3s,live_soccerway,2,0,2,0,0.0,0.1922249820566265,3162.842,3241.135,0,3189.7,-3189.7005,0.0,1,ttl-q2-3s-20260912-211552.json
ttl-q2-60s,live_soccerway,2,1,1,0,0.5,0.2754259176647274,10.161,3251.024,0,3238.4,-1618.9685,0.0,0,ttl-q2-60s-20260912-211621.json
ttl-q3-3s,live_soccerway,2,0,2,0,0.0,0.08538007256896533,9040.393,10384.05,0,9701.041,-9701.0415,0.0,1,ttl-q3-3s-20260912-211705.json
ttl-q3-60s,live_soccerway,2,1,1,0,0.5,0.1510392594194645,10.958,9230.415,0,9218.005,-4608.7845,0.0,0,ttl-q3-60s-20260912-211740.json
ttl-q4-3s,live_soccerway,2,0,2,0,0.0,0.13838913076561607,4790.528,5661.218,0,5209.02,-5209.02,0.0,1,ttl-q4-3s-20260912-211816.json
ttl-q4-60s,live_soccerway,2,1,1,0,0.5,0.22325408110305062,9.526,4948.668,0,4927.686,-2463.5645,0.0,0,ttl-q4-60s-20260912-211846.json
ttl-q5-3s,live_soccerway,2,0,2,0,0.0,0.17876367147064248,3308.589,3879.134,0,3580.765,-3580.7645,0.0,1,ttl-q5-3s-20260912-211919.json
ttl-q5-60s,live_soccerway,2,1,1,0,0.5,0.2451338772478451,9.776,4148.814,0,4133.414,-2066.416,0.0,0,ttl-q5-60s-20260912-211948.json
